ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
123.8469086,-38.9898404,08h15m23.26s,-38d59m23.43s,0.0437,0.0380,0.0105,11.330,0.021,51.7,12.320,10.894,0.021,51.8,4.020,1,0,0000,AA,10,58594.39535828,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.491927,257.145683
123.8469085,-38.9898401,08h15m23.26s,-38d59m23.42s,0.0357,0.0386,-0.0039,11.197,0.019,56.1,10.400,10.922,0.024,45.4,2.846,1,0,0000,AA,5,58801.09392486,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.491966,257.275562
123.8469055,-38.9898287,08h15m23.26s,-38d59m23.38s,0.0393,0.0486,0.0096,11.251,0.024,46.1,13.240,11.030,0.022,48.6,5.075,2,0,0000,AA,10,58226.98751844,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.492896,262.149861
123.8469065,-38.9898343,08h15m23.26s,-38d59m23.40s,0.0398,0.0419,-0.0089,11.190,0.021,52.2,8.151,10.849,0.026,42.5,2.354,1,0,0000,AA,10,58800.04733485,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.493298,259.785173
123.8469068,-38.9898367,08h15m23.26s,-38d59m23.41s,0.0357,0.0369,-0.0093,11.219,0.018,59.8,9.394,10.931,0.022,49.6,2.402,1,0,0000,AA,5,58958.34375914,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.494073,258.781797
123.8469171,-38.9898663,08h15m23.26s,-38d59m23.52s,0.0374,0.0402,0.0022,11.267,0.018,61.0,30.240,10.924,0.022,48.6,10.430,1,0,0000,AA,0,58806.91632608,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.49885,246.027427
123.8469201,-38.9898718,08h15m23.26s,-38d59m23.54s,0.0467,0.0497,-0.0093,11.228,0.023,47.9,15.580,10.910,0.026,42.5,4.553,1,0,0000,AA,5,58436.83281429,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.499682,243.561073
123.8469061,-38.9898434,08h15m23.26s,-38d59m23.44s,0.0377,0.0437,0.0038,11.204,0.021,51.8,12.070,10.892,0.022,49.8,2.201,1,0,0000,AA,5,58800.50511446,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.50123,256.119912
123.8469034,-38.9898389,08h15m23.26s,-38d59m23.42s,0.0391,0.0436,0.0039,11.345,0.019,58.6,7.337,11.162,0.029,37.5,2.724,1,0,0000,AA,5,59322.61543237,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.504985,258.110337
123.8469091,-38.9898556,08h15m23.26s,-38d59m23.48s,0.0429,0.0445,0.0121,11.346,0.022,48.4,61.860,11.069,0.022,50.4,21.310,1,0,0000,AA,0,58436.89826604,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.505593,251.053249
