W1Mag,W1Err,W2Mag,W2Err,MJD
11.24,0.02,10.87,0.02,58957.88598
11.26,0.02,10.77,0.03,58957.95143
11.15,0.03,10.92,0.03,58958.01688
11.26,0.02,10.90,0.02,58958.08221
11.25,0.02,10.93,0.03,58958.21298
11.25,0.02,10.93,0.02,58958.27843
11.22,0.02,10.93,0.02,58958.34376
11.27,0.02,10.90,0.02,58958.40921
11.26,0.02,10.95,0.02,58958.60544
11.25,0.02,10.93,0.02,58958.67076
11.25,0.02,10.92,0.02,58958.73621
11.25,0.02,10.94,0.02,58958.80154
11.22,0.02,10.96,0.02,58958.93232
11.29,0.02,10.91,0.02,58958.93244
11.17,0.02,10.98,0.02,58959.06322
11.32,0.02,11.15,0.02,59167.06696
11.34,0.02,11.08,0.03,59167.19723
11.33,0.02,11.12,0.02,59167.32851
11.33,0.02,11.11,0.02,59167.39396
11.46,0.02,11.25,0.02,59167.45878
11.42,0.02,11.20,0.02,59167.52423
11.35,0.02,11.12,0.03,59167.59006
11.34,0.02,11.16,0.02,59167.65551
11.45,0.02,11.18,0.03,59167.72084
11.32,0.02,11.16,0.02,59167.78629
11.39,0.02,11.17,0.02,59167.85161
11.36,0.02,11.07,0.03,59167.91707
11.52,0.02,11.41,0.03,59167.98239
11.34,0.02,11.10,0.03,59168.04784
11.32,0.02,11.15,0.03,59168.11317
11.31,0.02,11.09,0.03,59168.11329
11.40,0.02,11.10,0.02,59168.17811
11.35,0.02,11.12,0.03,59168.30939
11.33,0.02,11.13,0.03,59168.44017
11.33,0.02,11.14,0.03,59168.57044
11.35,0.02,11.16,0.03,59321.76571
11.35,0.02,11.10,0.03,59321.89636
11.27,0.02,11.12,0.03,59321.89648
11.33,0.02,11.16,0.02,59322.02713
11.36,0.02,11.13,0.03,59322.15791
11.33,0.02,11.22,0.02,59322.22323
11.37,0.02,11.14,0.03,59322.28856
11.34,0.02,11.08,0.03,59322.35401
11.40,0.02,11.15,0.02,59322.41933
11.35,0.02,11.16,0.03,59322.61543
11.34,0.02,11.15,0.02,59322.68076
11.33,0.02,11.19,0.03,59322.74621
11.36,0.02,11.22,0.02,59322.81153
11.36,0.02,11.17,0.03,59322.87686
11.36,0.02,11.20,0.02,59322.94231
11.34,0.02,11.18,0.03,59323.00763
11.35,0.02,11.18,0.03,59323.26906
11.36,0.02,11.20,0.02,59323.39983
11.35,0.02,11.15,0.03,59326.27538
11.35,0.02,11.19,0.02,59326.3407
11.56,0.02,11.41,0.03,59531.15169
11.40,0.02,11.30,0.03,59531.28234
11.40,0.02,11.18,0.02,59531.41299
11.51,0.02,11.11,0.03,59531.41311
11.48,0.02,11.29,0.03,59531.54376
11.42,0.02,11.11,0.03,59531.60909
11.40,0.02,11.21,0.03,59531.67441
11.39,0.02,11.29,0.03,59531.73973
11.47,0.02,11.26,0.03,59531.80506
11.36,0.02,11.25,0.03,59531.87051
11.42,0.02,11.25,0.03,59531.93583
11.44,0.02,11.23,0.03,59532.00116
11.44,0.02,11.25,0.02,59532.06648
11.43,0.02,11.24,0.03,59532.13181
11.43,0.02,11.22,0.02,59532.19713
11.36,0.02,11.26,0.03,59532.26246
11.37,0.02,11.22,0.03,59532.26258
11.33,0.02,11.18,0.03,59532.32791
11.42,0.02,11.30,0.03,59532.39323
11.43,0.02,11.24,0.02,59532.52388
11.43,0.02,11.26,0.03,59532.65453
