MJD           m       dm    uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57481.278294  13.525  0.004 14128   51 c  0  27.53 123.84708 -38.98981  3856.97  2713.00 4.33 3.80 -13.6 -0.472 19.11 20.84 02a57481o0149c
57481.293070  13.514  0.004 14268   52 c  0  26.02 123.84708 -38.98981  3578.76  2123.00 4.33 3.62 -14.4 -0.493 19.15 20.85 02a57481o0179c
57481.307324  13.514  0.004 14272   52 c  0  27.76 123.84708 -38.98981  4714.63  1556.00 4.58 3.73  -8.0 -0.509 19.15 20.87 02a57481o0208c
57481.322003  13.523  0.004 14152   52 c  0  28.94 123.84708 -38.98981  4792.07  1561.03 4.50 3.69  -7.8 -0.508 19.14 20.85 02a57481o0238c
57485.254747  13.542  0.004 13903   53 c  0   6.46 123.84708 -38.98981  3750.83  2593.60 5.41 4.77 -15.6 -0.407 18.89 20.76 02a57485o0086c
57485.270510  13.510  0.004 14322   61 c  0   5.69 123.84708 -38.98981  3484.66  1985.21 5.51 4.65 -18.9 -0.448 18.73 20.64 02a57485o0117c
57485.286219  13.508  0.004 14343   53 c  0  10.02 123.84708 -38.98981  4620.29  1437.93 5.50 4.51  -9.3 -0.464 18.99 20.94 02a57485o0148c
57485.301679  13.516  0.004 14239   55 c  0   5.81 123.84708 -38.98981  4791.22  1559.07 5.50 4.58 -11.5 -0.428 18.87 20.77 02a57485o0179c
57703.621773  13.242  0.003 18338   53 o  0  53.75 123.84708 -38.98981  2944.24  2606.35 3.55 3.51 -55.2 -0.441 19.09 20.54 02a57703o0860o
57703.647696  13.250  0.003 18193   56 o  0  39.14 123.84708 -38.98981  2930.62  2564.30 3.51 3.47 -47.0 -0.446 18.75 19.86 02a57703o0910o
57703.657777  13.269  0.007 17874  130 o  0   3.35 123.84708 -38.98981  2977.70  2642.33 3.53 3.47 -72.9 -0.440 17.42 17.19 02a57703o0929o
57707.626695  13.273  0.004 17819   71 o  0   9.21 123.84708 -38.98981  3371.02  1126.72 3.82 3.41 -11.4 -0.481 18.24 18.92 02a57707o0848o
57707.640065  13.262  0.004 17999   71 o  0   7.42 123.84708 -38.98981  3358.79  1090.97 3.85 3.65 -15.3 -0.462 18.21 18.91 02a57707o0874o
57707.654553  13.254  0.005 18133   99 o  0   2.51 123.84708 -38.98981  3421.20  1169.19 4.31 3.80  -3.5 -0.428 17.66 18.04 02a57707o0902o
57711.612896  13.275  0.003 17782   55 o  0  31.60 123.84708 -38.98981  5376.23  4236.46 3.81 3.78  44.9 -0.401 18.59 19.76 02a57711o0748o
57711.623721  13.258  0.003 18056   58 o  0  19.52 123.84708 -38.98981  5362.20  4202.93 3.74 3.68  83.0 -0.411 18.61 19.76 02a57711o0769o
57711.640188  13.250  0.003 18200   57 o  0  10.87 123.84708 -38.98981  5425.12  4280.91 4.04 3.98   2.7 -0.387 18.44 19.59 02a57711o0801o
57715.603813  13.539  0.003 13946   48 c  0   4.89 123.84708 -38.98981  2612.37  1907.14 4.69 4.44  -6.7 -0.349 19.04 20.90 02a57715o0691c
57715.613072  13.536  0.003 13979   45 c  0   4.60 123.84708 -38.98981  2583.16  1872.40 4.54 4.47  -6.6 -0.348 19.08 20.90 02a57715o0709c
57715.631224  13.548  0.003 13824   47 c  0   5.62 123.84708 -38.98981  2646.31  1949.89 4.76 4.70 -12.9 -0.345 18.95 20.78 02a57715o0744c
57735.546757  13.266  0.005 17938   86 o  0   4.97 123.84708 -38.98981  4134.22  2491.38 4.14 3.33  -5.3 -0.438 18.07 18.78 02a57735o0594o
57735.560601  13.259  0.004 18041   74 o  0   6.41 123.84708 -38.98981  4120.01  2452.88 3.69 3.52 -12.6 -0.439 18.13 18.74 02a57735o0621o
57735.574481  13.253  0.004 18150   75 o  0   6.22 123.84708 -38.98981  4181.40  2533.49 3.72 3.64 -25.4 -0.437 18.10 18.69 02a57735o0648o
57735.588331  13.263  0.004 17988   73 o  0   9.13 123.84708 -38.98981  4199.14  2415.94 3.68 3.61 -26.7 -0.439 18.10 18.70 02a57735o0675o
57747.517311  13.564  0.003 13626   44 c  0  11.87 123.84708 -38.98981  2636.50  2171.23 4.08 3.82  -6.2 -0.381 19.43 21.41 02a57747o0662c
57747.530319  13.562  0.003 13658   42 c  0  29.89 123.84708 -38.98981  2622.85  2131.67 4.11 4.08 -85.8 -0.381 19.45 21.44 02a57747o0688c
57747.543325  13.567  0.003 13592   44 c  0  16.07 123.84708 -38.98981  2668.90  2212.82 4.68 4.22   0.9 -0.368 19.35 21.42 02a57747o0714c
57751.512419  13.517  0.003 14236   44 c  0  31.50 123.84708 -38.98981  5941.93  1160.12 3.82 3.80  80.8 -0.429 19.57 21.57 02a57751o0172c
57751.525012  13.524  0.003 14140   43 c  0  56.19 123.84708 -38.98981  5928.59  1124.63 3.75 3.70 -57.9 -0.442 19.63 21.60 02a57751o0197c
57751.538131  13.544  0.003 13881   43 c  0  33.26 123.84708 -38.98981  5989.30  1202.64 3.90 3.84 -10.5 -0.429 19.57 21.57 02a57751o0223c
57751.551758  13.538  0.003 13957   43 c  0  36.85 123.84708 -38.98981  6004.39  1088.08 3.94 3.85 -11.4 -0.431 19.54 21.52 02a57751o0250c
57755.502846  13.538  0.003 13956   41 c  0  50.30 123.84708 -38.98981  4787.37  3523.65 3.72 3.65  77.0 -0.387 19.59 21.53 02a57755o0593c
57755.515351  13.548  0.003 13834   42 c  0  52.95 123.84708 -38.98981  4759.06  3488.19 3.69 3.64  80.6 -0.393 19.59 21.52 02a57755o0617c
57763.477952  13.264  0.004 17957   68 o  0  11.19 123.84708 -38.98981  2469.40  2026.48 3.65 3.58 -48.2 -0.447 18.39 19.17 02a57763o0443o
57763.490679  13.265  0.004 17941   69 o  0  10.76 123.84708 -38.98981  2440.94  1986.32 3.64 3.56 -50.4 -0.452 18.38 19.14 02a57763o0468o
