MJD           m       dm    uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59207.475687  13.351  0.003 16588   42 o  0 390.20 123.84708 -38.98981  5774.85  5515.65 2.40 2.18 -16.4 -0.377 19.10 19.98 01a59207o0605o
59207.496917  13.335  0.003 16828   43 o  0 144.46 123.84708 -38.98981  5757.21  5478.35 2.75 2.24 -27.1 -0.403 19.10 20.12 01a59207o0650o
59207.501065  13.325  0.002 16984   42 o  0 180.58 123.84708 -38.98981  5814.68  5556.50 2.32 2.11 -76.0 -0.381 19.23 20.17 01a59207o0659o
59207.507060  13.337  0.003 16801   43 o  0 224.91 123.84708 -38.98981  5835.32  5441.43 2.26 2.10 -77.2 -0.387 19.29 20.28 01a59207o0672o
59209.529840  13.309  0.003 17240   51 o  0  54.48 123.84708 -38.98981  3229.30   927.78 3.12 2.85 -55.7 -0.412 18.62 19.63 02a59209o0602o
59209.586431  13.305  0.003 17292   46 o  0 202.29 123.84708 -38.98981  3215.24   895.00 2.38 2.23  88.8 -0.437 19.02 20.16 02a59209o0609o
59209.591006  13.307  0.003 17269   47 o  0 257.21 123.84708 -38.98981  3272.13   972.39 2.45 2.20 -65.6 -0.442 19.17 20.33 02a59209o0619o
59209.599298  13.303  0.003 17332   46 o  0 255.41 123.84708 -38.98981  3292.06   858.58 2.60 2.29 -64.6 -0.427 19.17 20.45 02a59209o0637o
59211.482507  13.324  0.003 16998   52 o  0  17.28 123.84708 -38.98981  9021.08  1095.85 3.05 2.79 -30.3 -0.329 18.56 19.20 01a59211o0638o
59211.484350  13.321  0.003 17049   49 o  0  45.01 123.84708 -38.98981  9002.91  1057.25 2.80 2.60 -33.3 -0.332 18.60 19.20 01a59211o0642o
59211.487115  13.307  0.003 17259   50 o  0  48.75 123.84708 -38.98981  9059.78  1133.91 2.66 2.54 -67.0 -0.358 18.71 19.20 01a59211o0648o
59211.506043  13.304  0.003 17308   50 o  0  68.86 123.84708 -38.98981  1528.12  9570.87 2.55 2.21 -56.8 -0.389 18.66 19.22 01a59211o0688o
59215.462635  13.581  0.199 13419 2669 o  0   1.46 123.84708 -38.98981  9019.98  1096.50 2.84 2.67 -67.4 -0.386 14.01 13.83 01a59215o0588o
59215.465860  13.807  0.265 10896 2882 o  0   1.38 123.84708 -38.98981  9001.79  1058.22 2.92 2.72 -56.1 -0.354 13.67 13.49 01a59215o0595o
59215.469083  13.811  0.221 10852 2393 o  0   1.34 123.84708 -38.98981  9058.74  1135.11 2.93 2.63 -73.4 -0.364 14.12 13.92 01a59215o0602o
59215.474149  13.412  0.102 15680 1604 o  0   1.02 123.84708 -38.98981  9080.12  1016.26 2.77 2.52 -60.1 -0.378 14.26 14.00 01a59215o0613o
59219.459175  13.360  0.003 16439   45 o  0  63.74 123.84708 -38.98981  5196.44  7160.08 3.18 2.90 -71.1 -0.330 18.74 19.93 01a59219o0575o
59219.479327  13.321  0.003 17043   44 o  0 171.34 123.84708 -38.98981  5180.89  7119.99 2.47 2.26 -69.3 -0.384 19.03 19.87 01a59219o0618o
59219.482107  13.321  0.003 17043   45 o  0  91.69 123.84708 -38.98981  5241.46  7197.90 2.49 2.33  -0.7 -0.389 18.99 19.86 01a59219o0624o
59219.495797  13.326  0.002 16960   42 o  0 248.76 123.84708 -38.98981  5314.45  3478.02 2.46 2.24 -22.7 -0.386 19.00 19.84 01a59219o0652o
59223.479300  13.631  0.003 12817   35 c  0 141.03 123.84708 -38.98981  5373.40  3404.17 2.87 2.69  20.1 -0.339 19.49 21.61 01a59223o0616c
59223.482529  13.629  0.003 12841   35 c  0 313.69 123.84708 -38.98981  5394.46  3441.98 2.60 2.47  -5.9 -0.331 19.57 21.59 01a59223o0623c
59223.517495  13.648  0.003 12608   37 c  0  59.86 123.84708 -38.98981  5334.49  3363.95 3.03 2.87 -39.5 -0.310 19.29 21.43 01a59223o0698c
59223.545945  13.643  0.003 12672   44 c  0  32.83 123.84708 -38.98981  5314.21  3479.07 3.10 3.07 -73.5 -0.326 18.84 21.01 01a59223o0759c
59227.437391  13.567  0.003 13587   36 c  0 268.39 123.84708 -38.98981  5130.69   860.82 2.61 2.47  79.1 -0.383 19.71 21.86 01a59227o0469c
59227.440616  13.567  0.003 13588   36 c  0 151.30 123.84708 -38.98981  5110.49   822.68 2.86 2.64  80.0 -0.371 19.65 21.86 01a59227o0476c
59227.443383  13.593  0.003 13264   35 c  0 256.69 123.84708 -38.98981  5167.54   901.57 2.95 2.82  16.5 -0.355 19.56 21.87 01a59227o0482c
59227.448450  13.599  0.003 13198   37 c  0 283.56 123.84708 -38.98981  5186.27   785.64 3.25 2.75  -6.7 -0.392 19.50 21.86 01a59227o0493c
59229.425575  13.631  0.003 12811   37 c  0 138.48 123.84708 -38.98981  7358.37  3325.21 2.56 2.33  38.4 -0.388 19.55 21.32 02a59229o0499c
59229.427419  13.655  0.003 12530   36 c  0 128.01 123.84708 -38.98981  7378.17  3365.15 2.46 2.33  40.5 -0.392 19.58 21.32 02a59229o0503c
59229.430619  13.661  0.003 12458   36 c  0 224.01 123.84708 -38.98981  7321.08  3285.54 2.45 2.31  43.0 -0.390 19.58 21.34 02a59229o0510c
59229.435661  13.653  0.003 12559   36 c  0 297.84 123.84708 -38.98981  7300.39  3400.31 2.39 2.33  88.7 -0.389 19.56 21.35 02a59229o0521c
59231.419572  13.625  0.003 12886   36 c  0 103.70 123.84708 -38.98981  5131.14   859.13 3.09 2.70  82.0 -0.373 19.52 21.59 01a59231o0354c
59231.422337  13.581  0.003 13416   36 c  0 156.45 123.84708 -38.98981  5115.05   822.26 2.92 2.45  82.8 -0.389 19.57 21.62 01a59231o0360c
59231.425100  13.612  0.003 13042   36 c  0 186.61 123.84708 -38.98981  5171.33   900.76 2.97 2.48  86.4 -0.382 19.56 21.63 01a59231o0366c
59231.431566  13.593  0.003 13268   36 c  0 132.72 123.84708 -38.98981  5189.18   783.83 2.98 2.60  86.0 -0.384 19.54 21.65 01a59231o0380c
59241.402037  13.304  0.011 17307  197 o  0   2.57 123.84708 -38.98981   927.69  5284.21 2.49 2.15 -66.0 -0.414 15.96 17.08 02a59241o0020o
59241.403867  13.313  0.024 17165  416 o  0   1.47 123.84708 -38.98981   945.46  5322.54 2.24 2.22 -52.6 -0.428 16.20 17.24 02a59241o0024o
59243.423679  13.438  0.003 15297   52 o  0  21.36 123.84708 -38.98981  4430.59  7176.63 2.94 2.49 -81.6 -0.375 18.19 18.60 01a59243o0483o
59243.426901  13.442  0.003 15246   52 o  0  37.96 123.84708 -38.98981  4450.97  7214.83 2.71 2.41 -63.8 -0.380 18.24 18.61 01a59243o0490o
59243.432447  13.433  0.004 15369   54 o  0  15.38 123.84708 -38.98981  4393.25  7137.41 2.91 2.60 -70.2 -0.372 18.16 18.60 01a59243o0502o
59243.443509  13.432  0.003 15391   53 o  0  20.59 123.84708 -38.98981  4374.87  7253.30 3.02 2.48 -79.3 -0.385 18.19 18.59 01a59243o0526o
59247.446414  13.352  0.003 16569   43 o  0 331.48 123.84708 -38.98981  4436.20  7176.05 2.07 1.95 -12.7 -0.405 19.03 19.73 01a59247o0217o
59247.449639  13.361  0.003 16424   43 o  0 365.85 123.84708 -38.98981  4456.20  7214.78 2.12 2.03 -61.7 -0.411 19.03 19.72 01a59247o0224o
59247.455182  13.351  0.003 16574   44 o  0 236.09 123.84708 -38.98981  4398.30  7138.15 2.15 1.97 -74.2 -0.423 19.06 19.71 01a59247o0236o
59247.466253  13.357  0.003 16488   44 o  0 257.63 123.84708 -38.98981  4379.36  7253.87 2.09 2.01 -71.5 -0.418 19.04 19.68 01a59247o0260o
59251.408947  13.659  0.003 12485   36 c  0  80.11 123.84708 -38.98981  8256.22  6989.96 3.20 2.49 -83.9 -0.390 19.44 21.40 01a59251o0439c
59251.412170  13.652  0.003 12570   36 c  0 109.58 123.84708 -38.98981  8276.06  7028.62 3.11 2.42 -84.5 -0.388 19.44 21.40 01a59251o0446c
59251.418191  13.657  0.003 12503   35 c  0 124.84 123.84708 -38.98981  8217.86  6949.54 3.15 2.48 -84.4 -0.392 19.43 21.42 01a59251o0459c
59251.429266  13.659  0.003 12490   36 c  0  62.90 123.84708 -38.98981  8199.16  7063.64 3.08 2.62 -89.2 -0.376 19.44 21.47 01a59251o0483c
59253.415605  13.703  0.003 11989   38 c  0 332.23 123.84708 -38.98981  1317.76  9229.66 2.79 2.37 -53.0 -0.436 19.46 21.38 02a59253o0166c
59253.419275  13.731  0.003 11685   37 c  0 118.67 123.84708 -38.98981  1298.48  9190.25 3.08 2.71 -47.6 -0.418 19.40 21.37 02a59253o0174c
59253.427081  13.725  0.003 11750   37 c  0  70.79 123.84708 -38.98981  1359.08  9270.45 3.57 2.94 -25.8 -0.382 19.24 21.35 02a59253o0191c
59253.441305  13.736  0.003 11631   37 c  0  70.15 123.84708 -38.98981  1381.89  9157.90 3.44 2.80 -19.0 -0.384 19.25 21.32 02a59253o0222c
59255.439052  13.698  0.003 12048   35 c  0  61.52 123.84708 -38.98981  8257.45  7002.79 3.09 2.96  64.0 -0.340 19.39 21.56 01a59255o0486c
59255.443198  13.686  0.003 12175   35 c  0  44.14 123.84708 -38.98981  8277.56  7041.38 3.20 2.98  81.9 -0.336 19.33 21.56 01a59255o0495c
59255.450134  13.680  0.003 12252   35 c  0  45.30 123.84708 -38.98981  8218.51  6961.36 3.46 3.20  78.4 -0.332 19.25 21.58 01a59255o0510c
59255.485598  13.674  0.003 12316   37 c  0  45.54 123.84708 -38.98981  8196.16  7082.13 3.37 2.91  90.0 -0.351 19.25 21.55 01a59255o0586c
59257.381491  13.662  0.003 12456   37 c  0 217.43 123.84708 -38.98981  1316.20  9230.95 2.64 2.55   1.0 -0.422 19.46 21.39 02a59257o0381c
59257.384692  13.653  0.003 12560   37 c  0 266.84 123.84708 -38.98981  1296.76  9192.04 2.63 2.57  -3.9 -0.425 19.44 21.39 02a59257o0388c
59257.390182  13.631  0.003 12809   38 c  0 268.21 123.84708 -38.98981  1357.27  9271.79 2.60 2.50  29.5 -0.442 19.40 21.40 02a59257o0400c
59257.425437  13.646  0.003 12636   38 c  0 182.53 123.84708 -38.98981  1380.07  9149.72 2.67 2.54  42.2 -0.427 19.43 21.42 02a59257o0476c
59259.388560  13.675  0.003 12303   34 c  0 117.64 123.84708 -38.98981  7160.58  1377.51 2.85 2.70 -52.2 -0.355 19.42 21.42 01a59259o0210c
59259.395004  13.665  0.003 12418   34 c  0 375.58 123.84708 -38.98981  7180.61  1414.90 2.44 2.35 -47.8 -0.379 19.59 21.45 01a59259o0224c
59259.398236  13.661  0.003 12466   34 c  0 245.29 123.84708 -38.98981  7120.26  1336.01 2.54 2.41 -33.4 -0.362 19.59 21.45 01a59259o0231c
59259.408423  13.660  0.003 12477   35 c  0 126.17 123.84708 -38.98981  7101.37  1451.58 2.91 2.73 -56.3 -0.350 19.43 21.48 01a59259o0253c
59263.363499  13.425  0.011 15494  170 o  0   5.95 123.84708 -38.98981  7159.56  1379.16 2.27 1.98 -86.9 -0.427 16.62 17.37 01a59263o0250o
59263.366306  13.441  0.041 15261  630 o  0   1.34 123.84708 -38.98981  7179.34  1418.02 2.26 1.97 -79.5 -0.416 15.16 15.91 01a59263o0256o
59263.371888  13.404  0.023 15790  359 o  0   2.04 123.84708 -38.98981  7119.11  1338.61 2.25 1.99 -83.8 -0.429 15.36 16.24 01a59263o0268o
59263.383054   0.324  1.633 -4893426072 7992595917 o  0   1.28 123.84708 -38.98981  7144.46  1501.76 2.27 2.06 -54.1 -0.396 -2.73 -1.55 01a59263o0292o
59265.433297  13.687  0.245 12163 2980 o  0   1.48 123.84708 -38.98981  4235.97  3469.69 3.03 2.54  43.0 -0.398 14.68 15.43 02a59265o0264o
59265.436518  13.380  0.008 16138  125 o  0   4.96 123.84708 -38.98981  4214.27  3437.65 3.02 2.52  43.0 -0.396 17.56 18.59 02a59265o0271o
59265.442011  13.694  0.933 12086 11276 o  0   0.87 123.84708 -38.98981  4272.08  3514.36 3.02 2.53  44.4 -0.408 12.31 13.13 02a59265o0283o
59267.360141  13.422  0.003 15537   42 o  0 478.76 123.84708 -38.98981  6901.03  5447.38 2.09 1.88 -72.8 -0.404 19.10 19.75 01a59267o0310o
59267.363370  13.412  0.003 15676   42 o  0 216.05 123.84708 -38.98981  6920.83  5485.56 2.22 1.93 -78.3 -0.404 19.09 19.75 01a59267o0317o
59267.369838  13.393  0.003 15955   46 o  0 107.79 123.84708 -38.98981  6862.93  5406.77 2.31 2.07 -75.4 -0.400 19.07 19.76 01a59267o0331o
59267.379978  13.412  0.003 15679   42 o  0 216.84 123.84708 -38.98981  6845.90  5521.53 2.22 2.05 -71.9 -0.395 19.07 19.75 01a59267o0353o
59271.376180  13.441  0.003 15266   48 o  0  55.84 123.84708 -38.98981  6902.24  5444.58 2.34 2.18 -66.2 -0.391 18.52 18.69 01a59271o0210o
59271.379404  13.442  0.003 15247   51 o  0  24.33 123.84708 -38.98981  6922.24  5482.42 2.61 2.47 -45.3 -0.362 18.39 18.67 01a59271o0217o
59271.385396  13.439  0.003 15283   49 o  0  43.98 123.84708 -38.98981  6862.97  5405.50 2.58 2.57  74.4 -0.365 18.38 18.68 01a59271o0230o
59271.395524  13.437  0.003 15323   48 o  0  68.95 123.84708 -38.98981  6846.93  5518.50 2.57 2.51 -33.8 -0.395 18.36 18.63 01a59271o0252o
59277.332644  13.747  0.003 11510   35 c  0 344.13 123.84708 -38.98981   262.66  3064.86 2.52 2.47 -73.8 -0.384 19.41 21.23 02a59277o0262c
59277.335854  13.732  0.003 11679   37 c  0 122.66 123.84708 -38.98981   239.82  3023.49 2.56 2.50 -68.8 -0.391 19.41 21.22 02a59277o0269c
59277.343254  13.750  0.003 11484   35 c  0 223.41 123.84708 -38.98981   301.01  3101.79 2.62 2.53 -71.0 -0.379 19.39 21.23 02a59277o0285c
59277.357024  13.736  0.003 11635   35 c  0 288.37 123.84708 -38.98981   323.30  2987.08 2.57 2.51 -89.1 -0.386 19.38 21.26 02a59277o0315c
59289.368200  13.686  0.003 12179   36 c  0 259.64 123.84708 -38.98981  7007.30   757.74 2.57 2.17 -63.8 -0.411 19.54 21.41 02a59289o0197c
59289.371422  13.696  0.003 12071   36 c  0 184.69 123.84708 -38.98981  6988.15   722.34 2.46 2.16 -76.3 -0.404 19.53 21.41 02a59289o0204c
59289.377421  13.674  0.003 12311   36 c  0 214.24 123.84708 -38.98981  7044.82   801.22 2.47 2.17 -74.6 -0.406 19.46 21.39 02a59289o0217c
59289.405313  13.682  0.003 12224   38 c  0  99.58 123.84708 -38.98981  7064.01   680.29 2.50 2.13 -66.1 -0.409 19.43 21.28 02a59289o0277c
59291.374854  13.379  0.003 16156   42 o  0 519.55 123.84708 -38.98981  9249.10  9555.66 2.62 2.38 -90.0 -0.381 19.25 20.54 01a59291o0067o
59291.378082  13.355  0.003 16514   44 o  0 500.64 123.84708 -38.98981  9269.13  9594.89 2.32 2.07 -87.4 -0.394 19.38 20.55 01a59291o0074o
59291.397801  13.323  0.003 17014   44 o  0 146.81 123.84708 -38.98981  9212.70  9519.32 2.50 2.16  86.7 -0.392 19.24 20.46 01a59291o0116o
59291.403358  13.350  0.003 16591   45 o  0 155.14 123.84708 -38.98981  9194.77  9636.35 2.61 2.17  83.6 -0.387 19.16 20.43 01a59291o0128o
59295.317149  13.381  0.003 16122   46 o  0 117.58 123.84708 -38.98981  9241.44  9559.60 2.82 2.23 -81.0 -0.370 18.96 19.75 01a59295o0206o
59295.320376  13.371  0.003 16281   45 o  0  97.59 123.84708 -38.98981  9260.89  9598.66 2.80 2.39 -79.6 -0.362 18.91 19.73 01a59295o0213o
59295.325900  13.363  0.003 16399   46 o  0 153.34 123.84708 -38.98981  9203.76  9518.10 2.50 2.22 -87.1 -0.384 18.95 19.73 01a59295o0225o
59295.336949  13.374  0.003 16231   47 o  0  90.81 123.84708 -38.98981  9186.12  9633.32 2.76 2.49 -74.4 -0.371 18.83 19.69 01a59295o0249o
59299.314466  13.411  0.009 15692  134 o  0   7.01 123.84708 -38.98981  7360.87  9619.75 2.06 1.99 -70.6 -0.385 17.31 17.16 01a59299o0110o
59299.318156  13.402  0.005 15824   85 o  0  14.51 123.84708 -38.98981  7378.48  9658.67 2.15 2.07 -66.7 -0.384 17.54 17.73 01a59299o0118o
59299.323696  13.407  0.005 15745   74 o  0  27.46 123.84708 -38.98981  7322.99  9579.73 2.14 1.97 -81.3 -0.383 17.72 17.91 01a59299o0130o
59299.334341  13.475  0.034 14792  505 o  0   2.02 123.84708 -38.98981  7304.57  9695.64 2.29 2.18  79.3 -0.359 16.04 16.53 01a59299o0153o
59305.290087  13.311  0.003 17205   47 o  0 243.88 123.84708 -38.98981  9404.96  9364.50 2.45 2.26  50.5 -0.427 19.15 20.13 02a59305o0154o
59305.295585  13.326  0.003 16960   48 o  0 171.57 123.84708 -38.98981  9385.06  9323.88 2.44 2.31  72.8 -0.423 19.17 20.14 02a59305o0166o
59305.299277  13.338  0.003 16781   46 o  0 371.72 123.84708 -38.98981  9446.37  9401.45 2.40 2.23  57.1 -0.426 19.16 20.15 02a59305o0174o
59305.309800  13.335  0.003 16820   46 o  0 297.49 123.84708 -38.98981  9467.42  9286.16 2.40 2.23  64.2 -0.425 19.17 20.18 02a59305o0197o
59307.283983  13.663  0.003 12445   36 c  0 218.97 123.84708 -38.98981  5164.98  1478.23 2.35 2.20   4.0 -0.382 19.57 20.98 01a59307o0123c
59307.287216  13.667  0.003 12398   36 c  0 224.54 123.84708 -38.98981  5185.07  1516.64 2.39 2.29  35.8 -0.382 19.48 20.96 01a59307o0130c
59307.292756  13.664  0.003 12432   36 c  0 258.74 123.84708 -38.98981  5125.18  1439.19 2.34 2.20   6.7 -0.381 19.58 21.02 01a59307o0142c
59307.303382  13.688  0.003 12157   34 c  0 336.52 123.84708 -38.98981  5106.47  1555.57 2.38 2.36  51.1 -0.382 19.51 21.03 01a59307o0165c
59311.271446  13.653  0.003 12558   39 c  0 261.82 123.84708 -38.98981  5164.72  1478.69 2.34 2.26  26.2 -0.384 19.38 20.96 01a59311o0117c
59311.274678  13.660  0.003 12475   42 c  0 146.36 123.84708 -38.98981  5185.22  1517.16 2.27 2.20  27.3 -0.388 19.33 20.89 01a59311o0124c
59311.282060  13.643  0.003 12676   39 c  0 315.19 123.84708 -38.98981  5124.56  1439.14 2.36 2.28   7.0 -0.381 19.43 21.03 01a59311o0140c
59311.292687  13.658  0.003 12497   37 c  0 394.10 123.84708 -38.98981  5106.18  1554.99 2.27 2.14   7.2 -0.388 19.53 21.11 01a59311o0163c
59315.286865  13.651  0.003 12574   35 c  0 413.67 123.84708 -38.98981  2518.80  7331.78 2.17 1.96 -69.4 -0.404 19.76 21.26 01a59315o0148c
59315.290092  13.669  0.003 12375   34 c  0 537.61 123.84708 -38.98981  2538.15  7369.66 2.26 2.02 -74.6 -0.407 19.71 21.26 01a59315o0155c
59315.295637  13.674  0.003 12309   35 c  0 514.50 123.84708 -38.98981  2481.04  7293.20 2.20 2.02 -70.3 -0.405 19.75 21.28 01a59315o0167c
59315.306695  13.661  0.003 12460   35 c  0 216.65 123.84708 -38.98981  2462.38  7407.57 2.34 2.15 -75.8 -0.399 19.66 21.24 01a59315o0191c
59319.275795  13.723  0.003 11773   34 c  0 149.55 123.84708 -38.98981  2517.72  7330.66 2.57 2.28 -77.6 -0.379 19.55 21.12 01a59319o0123c
59319.279021  13.729  0.003 11711   34 c  0 280.82 123.84708 -38.98981  2537.55  7369.01 2.36 2.10 -67.8 -0.396 19.62 21.13 01a59319o0130c
59319.285489  13.741  0.003 11572   34 c  0 361.43 123.84708 -38.98981  2479.97  7291.93 2.49 2.21 -75.9 -0.404 19.64 21.12 01a59319o0144c
59319.295671  13.717  0.003 11831   35 c  0 161.01 123.84708 -38.98981  2462.02  7407.12 2.60 2.30 -73.2 -0.393 19.60 21.15 01a59319o0166c
59321.261582  13.393  0.003 15957   48 o  0 284.74 123.84708 -38.98981  9014.21  1109.46 2.28 1.75 -59.5 -0.496 19.14 20.04 02a59321o0083o
59321.264782  13.387  0.003 16041   46 o  0 351.85 123.84708 -38.98981  8995.48  1070.75 2.13 1.70 -63.6 -0.504 19.19 20.07 02a59321o0090o
59321.270268  13.419  0.003 15579   46 o  0 387.78 123.84708 -38.98981  9052.48  1150.25 2.14 1.72 -61.3 -0.497 19.16 20.04 02a59321o0102o
59321.282178  13.411  0.003 15690   47 o  0 250.45 123.84708 -38.98981  9073.40  1032.23 2.36 1.79 -59.8 -0.488 19.09 20.00 02a59321o0128o
59323.251797  13.376  0.003 16207   42 o  0 544.65 123.84708 -38.98981  7323.83  3318.82 2.06 1.90  15.6 -0.390 19.30 19.92 01a59323o0066o
59323.255566  13.377  0.003 16192   42 o  0 591.55 123.84708 -38.98981  7345.32  3357.90 2.12 1.97  11.7 -0.400 19.21 19.95 01a59323o0074o
59323.261100  13.350  0.003 16592   42 o  0 344.10 123.84708 -38.98981  7285.51  3280.14 2.17 1.96   7.4 -0.388 19.23 19.95 01a59323o0086o
59323.274023  13.360  0.003 16438   42 o  0 447.18 123.84708 -38.98981  7267.45  3396.31 2.16 2.07  86.1 -0.396 19.16 19.90 01a59323o0114o
59327.245235  13.357  0.003 16484   46 o  0 208.85 123.84708 -38.98981  7323.25  3318.48 1.97 1.85  15.5 -0.410 18.93 19.16 01a59327o0034o
59327.248465  13.378  0.003 16169   45 o  0 335.80 123.84708 -38.98981  7343.19  3356.90 1.90 1.88 -87.6 -0.410 18.92 19.15 01a59327o0041o
59327.254003  13.384  0.003 16087   50 o  0 161.21 123.84708 -38.98981  7283.95  3278.81 1.90 1.88 -31.1 -0.400 18.72 18.96 01a59327o0053o
59327.265524  13.367  0.003 16340   48 o  0 209.39 123.84708 -38.98981  7264.50  3394.06 2.02 1.82  86.2 -0.415 18.86 19.07 01a59327o0078o
59331.252513  13.348  0.003 16626   56 o  0  51.13 123.84708 -38.98981   922.13  5352.91 2.19 2.09 -54.3 -0.406 18.36 18.40 01a59331o0035o
59331.256671  13.358  0.003 16477   57 o  0  23.77 123.84708 -38.98981   940.00  5389.87 2.38 2.20  11.8 -0.398 18.33 18.36 01a59331o0044o
59331.263121  13.374  0.003 16229   56 o  0  50.84 123.84708 -38.98981   884.43  5314.65 2.24 2.12  43.2 -0.418 18.29 18.31 01a59331o0058o
59331.273264  13.376  0.005 16205   82 o  0   5.60 123.84708 -38.98981   864.27  5429.24 2.39 2.25 -85.4 -0.401 17.72 18.03 01a59331o0080o
59333.267440  13.362  0.003 16413   48 o  0 212.23 123.84708 -38.98981  5127.85   864.69 2.02 1.84 -79.9 -0.464 19.00 19.90 02a59333o0088o
59333.271144  13.378  0.003 16176   49 o  0 330.44 123.84708 -38.98981  5107.49   823.88 2.02 1.83 -77.6 -0.465 19.01 19.90 02a59333o0096o
59333.278060  13.373  0.003 16253   52 o  0 117.32 123.84708 -38.98981  5164.85   902.24 2.03 1.83 -71.9 -0.466 18.98 19.87 02a59333o0111o
59333.288248  13.368  0.003 16322   48 o  0 272.36 123.84708 -38.98981  5185.07   784.80 2.02 1.83 -80.6 -0.446 18.88 19.69 02a59333o0133o
59337.238539  13.688  0.005 12156   61 c  0  23.45 123.84708 -38.98981  5129.77   864.25 2.50 2.16 -68.5 -0.425 17.95 19.03 02a59337o0025c
59337.241741  13.690  0.004 12130   44 c  0  67.44 123.84708 -38.98981  5110.80   825.15 2.48 2.15 -69.6 -0.417 18.90 20.10 02a59337o0032c
59337.249517  13.643  0.009 12670  117 c  0   3.73 123.84708 -38.98981  5166.66   903.68 2.55 2.18 -69.3 -0.421 17.84 19.30 02a59337o0049c
59337.259583  13.662  0.005 12454   61 c  0  16.52 123.84708 -38.98981  5186.61   785.95 2.66 2.14 -60.7 -0.414 19.06 20.77 02a59337o0071c
59491.613170  13.940  0.004  9640   43 o  0  34.78 123.84708 -38.98981  1283.97  1049.22 3.19 3.00 -64.7 -0.534 18.84 20.05 01a59491o0880o
59491.620103  13.950  0.005  9546   43 o  0  20.09 123.84708 -38.98981  1267.10  1013.11 3.27 3.07 -74.4 -0.507 18.83 20.11 01a59491o0895o
59491.637620  13.922  0.005  9796   45 o  0  15.53 123.84708 -38.98981  1323.64  1095.58 3.22 3.01 -69.6 -0.514 18.53 19.53 01a59491o0933o
59491.643146  13.935  0.008  9686   79 o  0   4.46 123.84708 -38.98981  1340.15   979.57 2.90 2.78 -67.4 -0.571 17.89 18.33 01a59491o0945o
59495.610784  14.144  0.008  7984   67 o  0   2.26 123.84708 -38.98981  1288.81  1049.94 3.64 3.58 -82.9 -0.431 18.21 19.51 01a59495o0902o
59495.616776  14.123  0.006  8143   49 o  0   7.57 123.84708 -38.98981  1268.72  1011.96 3.61 3.53 -35.2 -0.438 18.01 19.39 01a59495o0915o
59495.634765  14.134  0.009  8059   73 o  0   2.61 123.84708 -38.98981  1327.56  1094.19 3.66 3.47  -1.7 -0.437 17.58 18.63 01a59495o0953o
59495.640757  14.067  0.032  8573  278 o  0   1.14 123.84708 -38.98981  1343.19   977.80 3.23 3.16 -37.3 -0.480 16.22 16.66 01a59495o0966o
59503.593634  13.946  0.004  9588   40 o  0  20.71 123.84708 -38.98981  3145.64  1003.93 3.15 3.09  25.8 -0.430 18.81 20.10 01a59503o0843o
59503.596859  13.957  0.004  9492   42 o  0  12.65 123.84708 -38.98981  3125.96   965.37 3.18 3.13   7.2 -0.422 18.80 20.13 01a59503o0850o
59503.603772  13.927  0.004  9757   41 o  0  11.98 123.84708 -38.98981  3183.77  1043.19 3.02 3.01  30.3 -0.440 18.89 20.17 01a59503o0865o
59503.625011  13.930  0.004  9726   38 o  0  25.80 123.84708 -38.98981  3201.05   925.15 3.15 3.10 -72.2 -0.436 18.92 20.21 01a59503o0911o
59505.607090  13.865  0.004 10323   43 o  0 115.40 123.84708 -38.98981  1137.57  1202.60 1.94 1.89  55.1 -0.497 18.74 19.31 02a59505o0912o
59505.610307  13.891  0.004 10082   45 o  0 113.51 123.84708 -38.98981  1157.26  1240.47 1.97 1.94 -74.3 -0.491 18.78 19.35 02a59505o0919o
59505.628652  13.849  0.004 10483   38 o  0 273.99 123.84708 -38.98981  1092.99  1158.83 2.15 2.05 -60.3 -0.474 19.08 20.01 02a59505o0959o
59505.638731  13.845  0.004 10515   41 o  0 179.79 123.84708 -38.98981  1071.91  1274.86 1.94 1.84  44.7 -0.498 18.96 19.70 02a59505o0981o
59511.612542  14.183  0.007  7704   57 o  0   5.55 123.84708 -38.98981  5389.81  9124.35 3.09 2.93  44.2 -0.428 18.15 19.16 01a59511o0922o
59511.625023  14.154  0.009  7914   69 o  0   4.52 123.84708 -38.98981  5373.15  9084.07 2.88 2.78  39.9 -0.458 18.04 18.85 01a59511o0949o
59511.631952  14.158  0.012  7888   94 o  0   2.60 123.84708 -38.98981  5435.78  9160.00 3.14 3.05  47.9 -0.451 17.79 18.39 01a59511o0964o
59511.640714  14.136  0.007  8046   57 o  0   5.24 123.84708 -38.98981  5455.53  9040.67 3.00 2.90  44.5 -0.441 18.23 18.86 01a59511o0983o
59515.606234  13.647  0.004 12622   49 o  0  20.89 123.84708 -38.98981  7996.56  3246.69 2.97 2.95   3.7 -0.422 18.46 19.43 01a59515o0917o
59515.609919  13.650  0.004 12594   48 o  0  23.00 123.84708 -38.98981  7976.47  3207.10 3.05 2.89  21.5 -0.418 18.51 19.45 01a59515o0925o
59515.628816  13.642  0.004 12677   48 o  0  17.11 123.84708 -38.98981  8036.36  3278.34 3.25 3.21  63.1 -0.412 18.46 19.52 01a59515o0966o
