#Data from LCO Program DDT2021B-003
#PI S. Ertel
#Time in MJD
#Colours and uncertainties in Magnitudes
#Filters SDSS gp,rp,ip
Time,mg,ug,mr,ur,mi,ui,mz,uz,g-r,Err g-r,r-i,Err r-i,g-z,Err g-z,r-z,Err r-z
59524.2483816,14.808822915979556,0.004350200720316238,13.869925598731465,0.0030369341722743942,13.494887226552898,0.0027768464061021392,-99.0,-99.0,0.9388973172480917,0.005305394940413755,0.37503837217856706,0.004115075349226345,-99.0,-99.0,-99.0,-99.0
59528.0494589,15.016897846844206,0.006320873449935364,13.991764255619652,0.0038176596992545203,13.645532174029736,0.0030423804210107748,-99.0,-99.0,1.025133591224554,0.007384305434460977,0.3462320815899158,0.00488165998462222,-99.0,-99.0,-99.0,-99.0
59529.3609523,15.352220230097084,0.006498795137515217,14.111840934051784,0.0035194671472241466,13.683739241421188,0.0028068369482377575,-99.0,-99.0,1.2403792960452993,0.007390601277283297,0.4281016926305963,0.004501664431561144,-99.0,-99.0,-99.0,-99.0
59534.5843023,14.938328543230202,0.007568090742616532,13.976933068068247,0.003898189836099612,13.634994008065137,0.0032875773087224953,13.471014565786811,0.00313148275689252,0.9613954751619556,0.008513041846881076,0.34193906000311003,0.005099416492021157,1.467313977443391,0.008190371282499545,0.5059185022814354,0.005000206821221049
59534.6625189,14.946951593329105,0.006211699324911165,13.979923693778504,0.0034381100381615233,13.591481745250821,0.0030723292704083224,13.476660345987687,0.0027945575145569947,0.967027899550601,0.0070997048627114675,0.3884419485276833,0.004610835909064078,1.470291247341418,0.00681136992133512,0.503263347790817,0.004430592774863652
59534.7298862,14.953489338743665,0.004553043041055991,13.99553986475893,0.0030774905331947267,13.66272789219763,0.0027241354288410386,13.463965263248593,0.0025939263479312705,0.9579494739847352,0.005495557197920112,0.33281197256130035,0.004109971023811496,1.4895240754950727,0.005240100650960862,0.5315746015103375,0.004024848056808508
59534.9417566,14.920342459109245,0.009492296095802051,13.95656410328262,0.004658522346854231,13.613804868852078,0.003706745124218101,-99.0,-99.0,0.9637783558266246,0.01057381272893175,0.3427592344305417,0.005953300754376089,-99.0,-99.0,-99.0,-99.0
59534.9798857,14.877351140467889,0.008111733962974217,13.92647819844472,0.004288030443500186,13.608199321087165,0.0033256063986114364,13.449331684241773,0.0030934685688822823,0.9508729420231692,0.009175370999063407,0.3182788773575549,0.00542649638375165,1.4280194562261155,0.008681576796454201,0.4771465142029463,0.0052874145734041885
59535.0633798,14.823515119608436,0.006153405165162086,13.896625155511753,0.0036841884692483742,13.590408973602822,0.0030388552912534485,13.448677668611694,0.0028591293138071116,0.9268899640966826,0.00717200389037723,0.3062161819089315,0.004775760270168694,1.3748374509967416,0.0067852056387197705,0.44794748690005903,0.00466346063669608
59535.2299506,14.73793559677111,0.005631009921846839,13.829185359589244,0.003487941723832447,13.508393413315417,0.002769267274000267,13.435178695764776,0.0025812207065264983,0.9087502371818648,0.006623745934800701,0.3207919462738271,0.00445360289021149,1.3027569010063331,0.006194430811280299,0.39400666382446836,0.004339174783833029
59535.3132525,14.739820331292073,0.004738387153332299,13.830132065723783,0.00313425794912014,13.522547521690722,0.0025081706137377313,13.418274386866663,0.00228050805241555,0.9096882655682901,0.005681186998021396,0.3075845440330607,0.004014286078400528,1.3215459444254094,0.005258614816850226,0.4118576788571193,0.0038761178863335605
59535.67367,14.79954008725701,0.00700306622653634,13.874889919630991,0.0038056071826151516,13.537719481914515,0.003378621872360905,13.429851106595038,0.003634930147623481,0.9246501676260195,0.007970293758803747,0.3371704377164768,0.0050889814093556624,1.369688980661973,0.007890225202828876,0.4450388130359535,0.005262638426347956
59536.261789,14.78757776339116,0.0057700656101361495,13.849437192299135,0.003489916585352952,13.531248472488496,0.0027712588340655115,13.440682065969838,0.002668876321037136,0.9381405710920259,0.006743380081086744,0.3181887198106388,0.004456387920514522,1.3468956974213224,0.006357401824823453,0.40875512632929656,0.004393451785295285
59536.3253028,14.81137864555118,0.005558981188052588,13.876390979117584,0.0033181092945053126,13.543782301583484,0.0026219541148697185,13.464635163709769,0.002496774962181129,0.9349876664335959,0.006473957146861964,0.3326086775341004,0.0042290061090952315,1.3467434818414112,0.006093944294206926,0.41175581540781536,0.004152557585640098
59536.934143,15.047134435268859,0.0150035706569173,14.018179752961506,0.005598654842232935,13.643920321176145,0.003985665518343174,13.48741379076158,0.003750312358442046,1.0289546823073525,0.01601412090935897,0.3742594317853616,0.00687244248186684,1.5597206445072782,0.015465185910392186,0.5307659621999257,0.006738677824940248
